AccountId1,AccountId2,MatchPercentage,RoleCount
0011J00001OXe5qQAD,0011J00001OXe0AQAT,1,9
0011J00001OXe5qQAD,0011J00001OXe2OQAT,1,9
0011J00001OXe2OQAT,0013c00001yU4eEAAS,1,58
0011J00001OXe2OQAT,0013c00001yWDjMAAW,1,58
0011J00001OXe5qQAD,0013c00001yU4eEAAS,1,9
0011J00001OXe2OQAT,0013c000020vsccAAA,1,58
0011J00001OXe5qQAD,0013c00001yWDjMAAW,1,9
0011J00001OXe2OQAT,0013c000020yejtAAA,1,58
0011J00001OXe5qQAD,0013c000020vsccAAA,1,9
0011J00001OXe5qQAD,0013c000020yejtAAA,1,9
0011J00001OXeLjQAL,0011J00001OnLYnQAN,0.88,1
0011J00001OXeF4QAL,0013c000020yewOAAQ,1,3
0011J00001OXe0mQAD,001Nq00000XCNrjIAH,1,7
0011J00001OXe0AQAT,001Nq00000as5PcIAI,1,64
0011J00001OXe0AQAT,001Nq00000as5PfIAI,1,64
0011J00001OXeQmQAL,0013c000020yf6kAAA,1,1
0011J00001OXe2OQAT,001Nq00000as5PcIAI,1,58
0011J00001OXe2OQAT,001Nq00000as5PfIAI,1,58
0011J00001OXeD9QAL,001Nq00000XCNrnIAH,1,1
0011J00001OXeLjQAL,001Nq00000XCAGBIA5,0.88,1
0011J00001OXeNUQA1,001Nq00000XCNrsIAH,1,1
0011J00001OXeLjQAL,001Nq00000XCNrrIAH,1,1
0011J00001OXe20QAD,001Nq00000as5PdIAI,1,5
0011J00001OXeI6QAL,001Nq00000XCNrqIAH,1,1
0011J00001OXeTbQAL,001Nq00000XCNrvIAH,1,1
0011J00001OXeF4QAL,001Nq00000as5PgIAI,1,3
0011J00001OXe5qQAD,001Nq00000as5PcIAI,1,9
0011J00001OXe5qQAD,001Nq00000as5PfIAI,1,9
0011J00001OXeQmQAL,001Nq00000as5PhIAI,1,1
0011J00001OXeZBQA1,0011J00001OmpInQAJ,0.912,1
0011J00001OXeTQQA1,001Nq00000XCNruIAH,1,1
0011J00001OXeZBQA1,0013c000020vMoXAAU,0.8879999999999999,1
0011J00001OXeZBQA1,0013c000020vVwDAAU,0.9,1
0011J00001OXeU9QAL,001Nq00000XCNrwIAH,1,1
0011J00001OXeYFQA1,001Nq00000XCNrxIAH,1,1
0011J00001OXebRQAT,001Nq00000XCNrzIAH,1,1
0011J00001OXeiXQAT,001Nq00000XCNs3IAH,1,1
0011J00001OXegDQAT,001Nq00000XCNs2IAH,1,1
0011J00001OXeZBQA1,001Nq00000as0hZIAQ,0.9,1
0011J00001OXeipQAD,001Nq00000XCNs4IAH,1,1
0011J00001OXedQQAT,001Nq00000XCNs0IAH,1,11
0011J00001OXeuMQAT,0011J00001OXdR8QAL,0.8979999999999999,2
0011J00001OXejNQAT,001Nq00000XCNs5IAH,1,1
0011J00001OXefXQAT,001Nq00000XCNs1IAH,1,1
0011J00001OXelUQAT,001Nq00000XCNs6IAH,1,1
0011J00001OXeobQAD,001Nq00000XCNs9IAH,1,1
0011J00001OXesDQAT,001Nq00000XCNsBIAX,1,0
0011J00001OXemIQAT,001Nq00000XCNs8IAH,1,1
0011J00001OXev2QAD,001Nq00000XCNsDIAX,1,1
0011J00001OXeuMQAT,001Nq00000as5PQIAY,0.8979999999999999,2
0011J00001OXes8QAD,001Nq00000XCNsAIAX,1,1
0011J00001OXf0LQAT,001Nq00000XCNsFIAX,1,1
0011J00001OXeyGQAT,001Nq00000XCNsEIAX,1,1
0011J00001OXf6HQAT,001Nq00000XCNsHIAX,1,1
0011J00001OXf0vQAD,001Nq00000XCNsGIAX,1,1
0011J00001OXf6OQAT,001Nq00000XCNsIIAX,1,1
0011J00001OXfASQA1,001Nq00000XCNsKIAX,1,0
0011J00001OXf8EQAT,0013c000020yrmLAAQ,0.856,1
0011J00001OXfEyQAL,001Nq00000XCNsNIAX,1,1
0011J00001OXfNBQA1,0013c0000213hXZAAY,0.9520000000000001,1
0011J00001OXfE4QAL,001Nq00000XCNsLIAX,1,1
0011J00001OXf8EQAT,001Nq00000XCNsJIAX,1,1
0011J00001OXfIwQAL,001Nq00000XCNsPIAX,1,1
0011J00001OXf8EQAT,001Nq00000XCOAEIA5,0.856,1
0011J00001OXfWLQA1,0011J00001OXkXQQA1,0.928,184
0011J00001OXfNBQA1,001Nq00000as5PnIAI,1,1
0011J00001OXfVGQA1,001Nq00000XCNsVIAX,1,1
0011J00001OXfO0QAL,001Nq00000XCNsSIAX,1,1
0011J00001OXfO1QAL,001Nq00000XCNsTIAX,1,1
0011J00001OXfmrQAD,0011J00001EAkzDQAT,0.96,3
0011J00001OXfmrQAD,0011J00001OXdsaQAD,0.97,3
0011J00001OXfWLQA1,0013c000020wS9YAAU,0.928,184
0011J00001OXfQKQA1,001Nq00000XCNsUIAX,1,14
0011J00001OXfVmQAL,001Nq00000XCNsWIAX,1,9
0011J00001OXfaRQAT,001Nq00000XCNsZIAX,1,1
0011J00001OXflDQAT,001Nq00000XCNscIAH,1,1
0011J00001OXfZ2QAL,001Nq00000XCNsYIAX,1,1
0011J00001OXfWLQA1,001Nq00000as3nRIAQ,0.856,184
0011J00001OXfxFQAT,0011J00001OmrSaQAJ,0.922,2
0011J00001OXfosQAD,001Nq00000XCNseIAH,1,1
0011J00001OXfqnQAD,001Nq00000XCNsfIAH,1,1
0011J00001OXfsLQAT,001Nq00000XCNsgIAH,1,1
0011J00001OXg2UQAT,0013c000020vXEUAA2,1,1
0011J00001OXge8QAD,0011J00001OXhLcQAL,0.8620000000000001,2
0011J00001OXfxFQAT,001Nq00000XCNsiIAH,1,2
0011J00001OXfxFQAT,001Nq00000XCNvBIAX,0.922,2
0011J00001OXg0UQAT,001Nq00000XCNskIAH,1,1
0011J00001OXfy1QAD,001Nq00000XCNsjIAH,1,2
0011J00001OXfvwQAD,001Nq00000XCNshIAH,1,1
0011J00001OXgskQAD,0013c00001yU2uvAAC,0.984,5
0011J00001OXgVPQA1,001Nq00000XCNsnIAH,1,2
0011J00001OXgskQAD,0013c00001z5EalAAE,0.96,5
0011J00001OXgRjQAL,001Nq00000XCNsmIAH,1,6
0011J00001OXgWwQAL,001Nq00000XCNsoIAH,1,0
0011J00001OXge8QAD,001Nq00000XCNspIAH,1,2
0011J00001OXge8QAD,001Nq00000XCNt1IAH,0.8620000000000001,2
0011J00001OXg2UQAT,001Nq00000as5PsIAI,1,1
0011J00001OXglRQAT,001Nq00000XCNsqIAH,1,1
0011J00001OXh7gQAD,001Nq00000XCNsvIAH,1,1
0011J00001OXhLcQAL,0011J00001OXge8QAD,0.8620000000000001,1
0011J00001OXgt0QAD,001Nq00000XCNssIAH,1,2
0011J00001OXh6CQAT,001Nq00000XCNstIAH,1,1
0011J00001OXhHwQAL,001Nq00000XCNsxIAH,1,1
0011J00001OXgskQAD,001Nq00000ardobIAA,0.96,5
0011J00001OXh6PQAT,001Nq00000XCNsuIAH,1,2
0011J00001OXhJOQA1,001Nq00000XCNsyIAH,1,1
0011J00001OXheXQAT,0011J00001NcZ0FQAV,0.98,10
0011J00001OXheXQAT,0011J00001OmtjWQAR,0.916,10
0011J00001OXheXQAT,0013c00001yU4yAAAS,0.916,10
0011J00001OXheXQAT,0013c00001yU6cJAAS,0.916,10
0011J00001OXhL3QAL,001Nq00000XCNt0IAH,1,5
0011J00001OXhLcQAL,001Nq00000XCNspIAH,0.8620000000000001,1
0011J00001OXhLcQAL,001Nq00000XCNt1IAH,1,1
0011J00001OXhd0QAD,001Nq00000XCNt4IAH,1,1
0011J00001OXhVPQA1,001Nq00000XCNt3IAH,1,1
0011J00001OXiYUQA1,0011J00001NLYlIQAX,1,3
0011J00001OXhqVQAT,001Nq00000XCNt7IAH,1,1
0011J00001OXiYUQA1,0013c00001oIU6qAAG,1,3
0011J00001OXiCzQAL,001Nq00000XBzrbIAD,1,2
0011J00001OXhyFQAT,001Nq00000XCNt9IAH,1,0
0011J00001OXheXQAT,001Nq00000arpUmIAI,0.98,10
0011J00001OXheXQAT,001Nq00000as5EIIAY,0.896,10
0011J00001OXhztQAD,001Nq00000XCNtAIAX,1,1
0011J00001OXiZJQA1,0013c000020veeEAAQ,0.856,9
0011J00001OXiYUQA1,001Nq00000arqUAIAY,1,3
0011J00001OXiZJQA1,001Nq00000XBzrgIAD,1,9
0011J00001OXicFQAT,001Nq00000XBzriIAD,1,1
0011J00001OXibiQAD,001Nq00000XBzrhIAD,1,1
0011J00001OXii6QAD,001Nq00000XBzrkIAD,1,1
0011J00001OXhuoQAD,001Nq00000XCNt8IAH,1,2
0011J00001OXjAKQA1,001Nq00000XBzrnIAD,1,1
0011J00001OXj8HQAT,001Nq00000XBzrmIAD,1,2
0011J00001OXk0pQAD,0011J00001Nd8SVQAZ,0.906,0
0011J00001OXjgiQAD,001Nq00000XBzrrIAD,1,1
0011J00001OXk0pQAD,0013c000020vcHgAAI,0.8720000000000001,0
0011J00001OXk0pQAD,0013c000020vnrlAAA,0.924,0
0011J00001OXk0pQAD,0013c000020vsrgAAA,0.8540000000000001,0
0011J00001OXkCqQAL,0013c00001yVNMZAA4,0.852,1
0011J00001OXkCqQAL,0013c000020jEf7AAE,0.85,1
0011J00001OXk1aQAD,0013c00001yXPlNAAW,0.8979999999999999,0
0011J00001OXkXQQA1,0011J00001OXfWLQA1,0.928,8
0011J00001OXkCqQAL,0013c000020vatEAAQ,0.922,1
0011J00001OXk3NQAT,0013c000020yJ84AAE,0.96,1
0011J00001OXjbFQAT,001Nq00000as5D1IAI,0.97,1
0011J00001OXkRnQAL,0013c000020vastAAA,1,73
0011J00001OXjbFQAT,001Nq00000as5KrIAI,0.9460000000000001,1
0011J00001OXk0pQAD,001Nq00000XCHPDIA5,0.8540000000000001,0
0011J00001OXkkwQAD,0013c00001uajmTAAQ,0.916,19
