"_","Id","Name","BillingStreet","ShippingStreet","Record_Type_Name__c","Account_Name_DBA_2__c","of_Roles__c","NPI__c"
"[Account]","0011J00001OXdt0QAD","Oral & Facial Surgeons of Mid Florida","195 Briarcliff Drive","195 Briarcliff Drive","Business Account","Oral & Facial Surgeons of Mid Florida","1",""
"[Account]","0011J00001OXduPQAT","Florida Industrial Electric","811 Wilma Street","811 Wilma Street","Business Account","Florida Industrial Electric","1",""
"[Account]","0011J00001OXdwBQAT","Island Lakes Center","","","Business Account","","1",""
"[Account]","0011J00001OXdxLQAT","Dream Quest International","266 Fox Chase Lane","266 Fox Chase Lane","Business Account","Dream Quest International","1",""
"[Account]","0011J00001OXdxZQAT","Bixon Chiropractic Center, P.A.","242 W. Highway 434","242 W. Highway 434","Business Account","Bixon Chiropractic Center, P.A.","1",""
"[Account]","0011J00001OXdysQAD","Longwood Health Care","1520 S. Grant Street","1520 S. Grant Street","Business Account","Longwood Health Care","4",""
"[Account]","0011J00001OXdzYQAT","Cumberland Farms","2550 West SR 434","2550 West SR 434","Business Account","Cumberland Farms","1",""
"[Account]","0011J00001OXdzoQAD","Claims, Inc.","P. O. Box 3576","P. O. Box 3576","Business Account","Claims, Inc.","0",""
"[Account]","0011J00001OXdzwQAD","CIGNA","P.O. Box 915865","P.O. Box 915865","Business Account","CIGNA","2",""
"[Account]","0011J00001OXe0AQAT","Humana Workers Compensation Services","P.O. Box 914700","P.O. Box 914700","Business Account","Humana Workers Compensation Services","64",""
"[Account]","0011J00001OXe0mQAD","U.S. Security Insurance Company, Inc.","280 Wekiva Spring Road, Suite 172","280 Wekiva Spring Road, Suite 172","Business Account","U.S. Security Insurance Company, Inc.","7",""
"[Account]","0011J00001OXe20QAD","American International Adjustment Company, Inc.","P.O. Box 522410","P.O. Box 522410","Business Account","American International Adjustment Company, Inc.","5",""
"[Account]","0011J00001OXe2OQAT","Humana Workers Compensation Services","P.O. Box 914700","P.O. Box 914700","Business Account","Humana Workers Compensation Services","58",""
"[Account]","0011J00001OXe5qQAD","Humana Workers Compensation Services","P.O. Box 914700","P.O. Box 914700","Business Account","Humana","9",""
"[Account]","0011J00001OXeD9QAL","Jewett Orthopaedic Clinic, P.A.","South Seminole Medical Plaza 515 W. S.R. 434, Suite 210","South Seminole Medical Plaza
515 W. S.R. 434, Suite 210","Business Account","Jewett Orthopaedic Clinic, P.A.","1",""
"[Account]","0011J00001OXeE4QAL","Beverly Healthcare of Longwood","","","Business Account","","1",""
"[Account]","0011J00001OXeF4QAL","Dick Baird Inc. d/b/a Bill Ray Nissan","2724 N. U.S. Highway 17/92","2724 N. U.S. Highway 17/92","Business Account","Bill Ray Nissan","3",""
"[Account]","0011J00001OXeI6QAL","Titusville Petro, Inc. d/b/a Longwood Citgo","798 W. State Road 434","798 W. State Road 434","Business Account","Titusville Petro, Inc. d/b/a Longwood Citgo","1",""
"[Account]","0011J00001OXeLjQAL","Action Security Service","1124 Centeral Florida Pkwy #10","1124 Centeral Florida Pkwy 
#10","Business Account","Action Security Service","1",""
"[Account]","0011J00001OXeNUQA1","P.A. Billing Service","P.O. Box 521743","P.O. Box 521743","Business Account","P.A. Billing Service","1",""
"[Account]","0011J00001OXeQmQAL","Virgil and Brothers, Inc.","149 Pineda Street","149 Pineda Street","Business Account","Virgil and Brothers, Inc.","1",""
"[Account]","0011J00001OXeTQQA1","Cool Way, Inc.","2880 N. Highway 427, Suite 101","2880 N. Highway 427, Suite 101","Business Account","Cool Way, Inc.","1",""
"[Account]","0011J00001OXeTbQAL","Scott Miller, Esq.","1936 Boothe Circle","1936 Boothe Circle","Business Account","Scott Miller, Esq.","1",""
"[Account]","0011J00001OXeU9QAL","Blackadar Insurance Agency","988 Highway 427 North","988 Highway 427 North","Business Account","Blackadar Insurance Agency","1",""
"[Account]","0011J00001OXeYFQA1","Central Florida Moving and Delivery","814 Riverbend Blvd.","814 Riverbend Blvd.","Business Account","Central Florida Moving and Delivery","1",""
"[Account]","0011J00001OXeZBQA1","Fausnight Strip & Line","910 Charles Street","910 Charles Street","Business Account","Fausnight Strip & Line","1",""
"[Account]","0011J00001OXebRQAT","D & E Landscaping, Inc.","301 Blue Lake Drive","301 Blue Lake Drive","Business Account","D & E Landscaping, Inc.","1",""
"[Account]","0011J00001OXedQQAT","Longwood Fire Rescue","Patient Billing Department P. O. Box 522498","Patient Billing Department
P. O. Box 522498","Business Account","Longwood Fire Rescue","11",""
"[Account]","0011J00001OXefXQAT","Chase Security Patrol SVC, Inc.","145 Wekiva Springs Road Suite 109","145 Wekiva Springs Road
Suite 109","Business Account","Chase Security Patrol SVC, Inc.","1",""
"[Account]","0011J00001OXegDQAT","Crispers","1869 West State 434","1869 West State 434","Business Account","Crispers","1",""
"[Account]","0011J00001OXeiXQAT","Kentucky Fried Chicken","385 South 17/92","385 South 17/92","Business Account","Kentucky Fried Chicken","1",""
"[Account]","0011J00001OXeipQAD","Woodland Elementary School","1420 E.E. Williamson Rd.","1420 E.E. Williamson Rd.","Business Account","Woodland Elementary School","1",""
